filename,class
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000078.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000090.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000030.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000087.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000081.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000068.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000033.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000098.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000080.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000037.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000043.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000093.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000091.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000089.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000064.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000026.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000003.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000044.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000051.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000072.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000024.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000002.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000040.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000041.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000008.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000084.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000088.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000062.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000075.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000010.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000050.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000053.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000014.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000016.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000048.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000018.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000012.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000028.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000083.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000065.wav,pump_abnormal
assets/data/audio_data/6_dB_pump/pump/id_04/abnormal/00000017.wav,pump_abnormal
